Movie_Name,Director(s),Genre(s)
After Hours 1985,Martin Scorsese,"Thriller, Comedy"
The Crying Game 1992,Neil Jordan,"Thriller, Romance, Crime"
Great Expectations 1947,David Lean,"Adventure, Drama, Mystery, Romance"
All the Beauty and the Bloodshed 2022,Laura Poitras,Documentary
Winter's Bone 2010,Debra Granik,"Drama, Thriller"
Gett: The Trial of Viviane Amsalem 2015,"Ronit Elkabetz, Shlomi Elkabetz",Drama
I Called Him Morgan 2017,Kasper Collin,"Drama, History, Music, Documentary"
Close Encounters of the Third Kind 1977,Steven Spielberg,"Adventure, Sci-Fi, Drama"
The Godfather: Part II 1974,Francis Ford Coppola,"Drama, Thriller, Crime"
Red Beard 1968,Akira Kurosawa,Drama
The Hustler 1961,Robert Rossen,"Drama, Sport"
Hit the Road 2022,Panah Panahi,Drama
L.A. Confidential 1997,Curtis Hanson,"Drama, Mystery, Thriller, Crime"
Procession 2021,Robert Greene,Documentary
Bloody Sunday 2002,Paul Greengrass,"Drama, History, War"
My Voyage to Italy 2001,Martin Scorsese,Documentary
Phantom Thread 2017,Paul Thomas Anderson,"Drama, Romance, Crime"
Goodfellas 1990,Martin Scorsese,"Biography, Drama, Crime"
Wojnarowicz 2021,Chris McKim,Documentary
Paths of the Soul 2016,Yang Zhang,Drama
It's Such a Beautiful Day 2012,Don Hertzfeldt,"Sci-Fi, Drama, Fantasy, Comedy, Animation"
My Perestroika 2011,Robin Hessman,"Biography, History, Family, Documentary, News"
This Is Not a Film 2012,"Jafar Panahi, Mojtaba Mirtahmasb",Documentary
The Birds 1963,Alfred Hitchcock,"Drama, Mystery, Horror, Romance"
To Have and Have Not 1945,Howard Hawks,"Adventure, Thriller, Comedy, Romance, War, Film-Noir"
Finding Nemo 2003,"Andrew Stanton, Lee Unkrich","Adventure, Comedy, Animation, Family"
Topsy-Turvy 1999,Mike Leigh,"Biography, Drama, Comedy, Music"
Samurai Rebellion 1967,Masaki Kobayashi,Drama
King Kong 1933,"Ernest B. Schoedsack, Merian C. Cooper","Adventure, Sci-Fi, Horror"
Small Axe: Mangrove 2020,Steve McQueen,Drama
The Incredibles 2004,Brad Bird,"Action, Adventure, Animation, Family"
Before Sunset 2004,Richard Linklater,"Drama, Romance"
Being John Malkovich 1999,Spike Jonze,"Drama, Fantasy, Comedy, Romance"
A Prophet 2010,Jacques Audiard,"Drama, Crime"
Hard to Be a God 2015,Aleksei German,"Sci-Fi, Drama"
Almost Famous 2000,Cameron Crowe,"Drama, Music"
High and Low 1963,Akira Kurosawa,"Drama, Mystery, Thriller, Crime"
Paths of Glory 1957,Stanley Kubrick,"Drama, War"
Cold War 2018,Pawel Pawlikowski,"Drama, Romance, Music"
Big Men 2014,Rachel Boynton,Documentary
American Splendor 2003,"Robert Pulcini, Shari Springer Berman","Biography, Drama, Comedy"
Hannah and Her Sisters 1986,Woody Allen,"Drama, Comedy, Romance"
The Circus 1929,Charles Chaplin,"Comedy, Romance"
Lost in Translation 2003,Sofia Coppola,"Drama, Romance"
The Tale 2018,Jennifer Fox,"Drama, Mystery, Thriller"
Licorice Pizza 2021,Paul Thomas Anderson,"Drama, Comedy"
Paterson 2016,Jim Jarmusch,"Drama, Comedy, Romance"
Gosford Park 2001,Robert Altman,"Drama, Mystery, Comedy"
The Fits 2016,Anna Rose Holmer,Drama
The Souvenir: Part II 2021,Joanna Hogg,"Drama, Romance"
Mad Max: Fury Road 2015,George Miller,"Action, Adventure, Sci-Fi, Thriller"
United 93 2006,Paul Greengrass,"Drama, History, Crime"
Capturing the Friedmans 2003,Andrew Jarecki,"Biography, Mystery, Crime, Documentary"
The Truman Show 1998,Peter Weir,Drama
American Hustle 2013,David O. Russell,"Drama, History, Thriller, Crime"
Blue Is the Warmest Color 2013,Abdel Kechiche,"Drama, Romance"
Star Wars: Episode IV - A New Hope 1977,George Lucas,"Action, Adventure, Sci-Fi, Fantasy"
Persepolis 2007,"Marjane Satrapi, Vincent Paronnaud","Biography, Drama, War, Animation"
The Age of Innocence 1993,Martin Scorsese,"Drama, Romance"
Once 2007,John Carney,"Drama, Romance, Music"
First Cow 2020,Kelly Reichardt,Drama
The Best of Youth 2005,Marco Tullio Giordana,"Drama, Romance"
The Overnighters 2014,Jesse Moss,"Drama, Documentary"
The Lives of Others 2006,Florian Henckel von Donnersmarck,"Drama, Thriller"
Two-Lane Blacktop 1971,Monte Hellman,Drama
House of Flying Daggers 2004,Yimou Zhang,"Action, Adventure, Drama, Fantasy, Romance"
63 Up 2019,Michael Apted,Documentary
Minding the Gap 2018,Bing Liu,Documentary
Treasure Island 1950,Byron Haskin,"Adventure, Family"
Searching for Bobby Fischer 1993,Steven Zaillian,"Biography, Drama"
Hamilton 2020,Thomas Kail,"Biography, Drama, History, Musical"
National Gallery 2014,Frederick Wiseman,"History, Documentary"
Assault on Precinct 13 1976,John Carpenter,"Action, Thriller, Crime"
Man on Wire 2008,James Marsh,"Crime, Documentary"
Three Minutes: A Lengthening 2022,Bianca Stigter,Documentary
For Sama 2019,"Edward Watts, Waad Al-Khateab",Documentary
Force of Evil 1949,Abraham Polonsky,"Drama, Crime, Film-Noir"
The Hidden Fortress 1960,Akira Kurosawa,"Adventure, Drama"
Still Walking 2009,Hirokazu Koreeda,Drama
Gangs of Wasseypur 2015,Anurag Kashyap,"Action, Drama, Thriller, Crime"
The Last Detail 1973,Hal Ashby,"Drama, Comedy"
When the Levees Broke: A Requiem in Four Acts 2006,Spike Lee,Documentary
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan 2006,Larry Charles,Comedy
Minari 2020,Lee Isaac Chung,Drama
Whiplash 2014,Damien Chazelle,"Drama, Music"
Barry Lyndon 1975,Stanley Kubrick,"Adventure, Drama, History, War"
The Farewell 2019,Lulu Wang,"Drama, Comedy"
Elle 2016,Paul Verhoeven,"Drama, Thriller, Comedy"
